CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
1	871254	876624	5	0.2245	1, 5
1	887388	892659	4	-1.812	6, 9
1	894376	1249743	87	0.0136	10, 96
1	1250207	1250822	3	-3.5263	97, 99
1	1262380	6534605	329	-0.0395	100, 428
1	6601959	6609767	4	-2.0709	429, 432
1	6614235	10356695	160	0.0317	433, 592
1	10463124	10493956	6	-0.9291	593, 598
1	10493969	11253792	55	-0.0426	599, 653
1	11288870	11313970	4	-1.8409	654, 657
1	11317057	19282716	413	0.0093	658, 1070
1	19478236	19612817	18	-0.8417	1071, 1088
1	19615049	19652812	12	-0.0485	1089, 1100
1	19683973	19712118	5	-0.7354	1101, 1105
1	19948629	20966451	83	0.1246	1106, 1188
1	20981932	20987770	5	-1.5116	1189, 1193
1	21016717	22333930	64	0.0775	1194, 1257
1	22405055	22413220	5	-1.9099	1258, 1262
1	22447998	23885834	85	-0.0039	1263, 1347
1	24019204	24021256	5	-4.3103	1348, 1352
1	24070053	24932132	90	-0.0366	1353, 1442
1	24932139	24981470	6	-1.3564	1443, 1448
1	25124273	26764700	144	-0.0119	1449, 1592
1	26764753	26786564	4	-4.0749	1593, 1596
1	26800604	27190004	27	-0.1643	1597, 1623
1	27215514	27216435	5	-2.0424	1624, 1628
1	27226491	27250625	11	-0.0071	1629, 1639
1	27268067	27269243	4	-1.3944	1640, 1643
1	27278263	28138777	85	0.0178	1644, 1728
1	28159310	28176845	15	-1.3746	1729, 1743
1	28199154	28206263	6	0.1638	1744, 1749
1	28223589	28233538	5	-3.4135	1750, 1754
1	28271934	28598947	33	-0.1058	1755, 1787
1	28660964	28661176	5	-1.4187	1788, 1792
1	28792225	28800297	5	0.3352	1793, 1797
1	28858423	28861784	5	-2.7165	1798, 1802
1	28880226	32687538	175	-0.027	1803, 1977
1	32691797	32694195	5	-2.517	1978, 1982
1	32713132	33059124	45	0.0754	1983, 2027
1	33099559	33134609	10	-2.1252	2028, 2037
1	33161085	33234267	9	0.0851	2038, 2046
1	33252645	33276587	5	-3.0216	2047, 2051
1	33291991	35657046	123	0.0026	2052, 2174
1	35657936	35658539	4	-2.0948	2175, 2178
1	35824686	36074913	21	-0.1013	2179, 2199
1	36074935	36096947	4	-4.1589	2200, 2203
1	36181583	36181825	5	-0.1639	2204, 2208
1	36225952	36227609	4	-1.6468	2209, 2212
1	36230192	36565684	31	0.0616	2213, 2243
1	36603419	36603543	5	-2.1132	2244, 2248
1	36605401	38265636	105	-0.3932	2249, 2353
1	38272859	38273595	5	-4.3175	2354, 2358
1	38274266	38411472	17	-0.321	2359, 2375
1	38446321	38455241	5	-3.7437	2376, 2380
1	38463699	41107434	163	-0.1327	2381, 2543
1	41204598	41218841	2	-3.6793	2544, 2545
1	41223803	43825195	153	-0.1398	2546, 2698
1	43825220	43825508	3	-4.7881	2699, 2701
1	43830053	44402181	45	-0.1013	2702, 2746
1	44402181	44423127	7	-1.5864	2747, 2753
1	44435925	44436761	5	-0.0815	2754, 2758
1	44441993	44442497	4	-1.7822	2759, 2762
1	44442692	44595401	21	-0.0829	2763, 2783
1	44680407	44684375	5	-2.1017	2784, 2788
1	44804725	45166685	20	0.0898	2789, 2808
1	45213099	45221656	5	-0.5584	2809, 2813
1	45242372	45243476	5	-3.8718	2814, 2818
1	45251835	52863517	357	-0.1751	2819, 3175
1	52871355	52876873	5	-4.8359	3176, 3180
1	52941006	89270174	818	-0.1123	3181, 3998
1	89323036	89352977	5	-2.9889	3999, 4003
1	89427067	91859671	86	-0.0889	4004, 4089
1	91973927	91981373	5	-3.181	4090, 4094
1	92185679	92754631	34	-0.1816	4095, 4128
1	92755847	92772816	5	-1.3823	4129, 4133
1	92789153	93202122	11	-0.0885	4134, 4144
1	93299114	93300486	2	-5.9424	4145, 4146
1	93309694	109235343	256	-0.2528	4147, 4402
1	109235410	109241301	4	-2.6622	4403, 4406
1	109260546	109714566	49	-0.197	4407, 4455
1	109772097	109774316	5	-4.437	4456, 4460
1	109793489	109898015	19	-0.3849	4461, 4479
1	109953699	109955720	5	-3.9856	4480, 4484
1	110019453	111969202	190	-0.1944	4485, 4674
1	111991229	112020281	12	-1.1864	4675, 4686
1	112020321	112298713	26	-0.0477	4687, 4712
1	112298726	112303156	4	-1.3849	4713, 4716
1	112524478	115053193	110	-0.2275	4717, 4826
1	115113336	115123942	5	-2.5015	4827, 4831
1	115165617	118462895	135	-0.2274	4832, 4966
1	118479427	118486063	5	-1.4992	4967, 4971
1	118584628	120508146	63	-0.2887	4972, 5034
1	120930091	145273446	38	-1.0069	5035, 5072
1	145416408	147380617	113	-0.1872	5073, 5185
1	147426562	149858711	28	-1.1208	5186, 5213
1	149859184	149885198	15	-0.2029	5214, 5228
1	149898346	149899119	5	-2.7488	5229, 5233
1	149905734	150257035	50	-0.0988	5234, 5283
1	150280484	150307470	9	-1.3683	5284, 5292
1	150307636	151209243	147	-0.3047	5293, 5439
1	151210653	151238589	5	-3.0971	5440, 5444
1	151238779	151342004	21	-0.1956	5445, 5465
1	151372175	151372677	5	-2.1683	5466, 5470
1	151381033	151734983	31	0.0436	5471, 5501
1	151735582	151739776	5	-0.8496	5502, 5506
1	151740529	152484262	81	0.0185	5507, 5587
1	152487943	152488006	3	-1.5983	5588, 5590
1	152487997	152636726	19	-0.2692	5591, 5609
1	152636716	152671550	9	-1.8685	5610, 5618
1	152681653	153631310	159	-0.1084	5619, 5777
1	153631314	153732870	18	-1.0097	5778, 5795
1	153735240	154543966	107	-0.0965	5796, 5902
1	154570948	154573607	4	-1.0805	5903, 5906
1	154573633	155491167	165	-0.0919	5907, 6071
1	155580277	155790439	18	-0.6809	6072, 6089
1	155823179	156170123	67	-0.1344	6090, 6156
1	156182884	156203476	8	-1.4988	6157, 6164
1	156212354	156215338	9	-0.2191	6165, 6173
1	156215416	156243208	6	-1.0003	6174, 6179
1	156255288	156264803	10	0.1615	6180, 6189
1	156287310	156303406	5	-2.8927	6190, 6194
1	156314421	156670810	55	0.0124	6195, 6249
1	156696762	156697254	3	-2.1847	6250, 6252
1	156697293	160253369	289	-0.0269	6253, 6541
1	160269028	160303447	5	-3.3674	6542, 6546
1	160318816	161071865	109	0.0203	6547, 6655
