GENE	BF
A1BG	-0.298
A1CF	1.961
A2M	-9.215
A2ML1	-7.939
A3GALT2	-2.987
A4GALT	-4.015
A4GNT	-0.216
AAAS	-4.291
AACS	-1.852
AADAC	-11.180
AADACL2	-11.969
AADACL3	-1.904
AADACL4	-6.143
AADAT	-0.504
AAED1	-9.437
AAGAB	-9.679
AAK1	-4.485
AAMDC	-2.754
AAMP	11.060
AANAT	-5.424
AAR2	-9.449
AARD	-2.509
AARS	10.632
AARS2	-5.625
AARSD1	-2.900
AASDH	-2.733
AASDHPPT	-6.496
AASS	-7.588
AATF	7.307
AATK	-6.341
ABAT	-2.865
ABCA1	-7.242
ABCA10	-8.236
ABCA12	-4.621
ABCA13	-5.575
ABCA2	-4.882
ABCA3	-15.760
ABCA4	-1.369
ABCA5	-6.492
ABCA6	-1.507
ABCA7	-8.056
ABCA8	-9.621
ABCA9	-9.194
ABCB1	-1.319
ABCB10	-9.355
ABCB11	-4.537
ABCB4	-7.244
ABCB5	-6.584
ABCB6	-5.352
ABCB7	3.170
ABCB8	-11.329
ABCB9	-8.859
ABCC1	-7.292
ABCC10	-5.729
ABCC11	-11.440
ABCC12	-5.882
ABCC2	-13.198
ABCC3	-14.356
ABCC4	-10.317
ABCC5	-1.309
ABCC6	-14.308
ABCC8	-10.710
ABCC9	-3.192
ABCD1	-6.144
ABCD2	-8.236
ABCD3	0.036
ABCD4	-0.223
ABCE1	30.500
ABCF1	9.575
ABCF2	-4.917
ABCF3	-14.028
ABCG1	-15.744
ABCG2	-4.189
ABCG4	-11.354
ABCG5	-9.019
ABCG8	-13.215
ABHD1	-9.445
ABHD10	-3.474
ABHD11	-6.126
ABHD12	-8.921
ABHD12B	-7.112
ABHD13	-0.471
ABHD14A	-6.011
ABHD14B	-7.820
ABHD15	-0.262
ABHD16A	-6.995
ABHD16B	-10.079
ABHD17A	-3.352
ABHD17B	-2.451
ABHD17C	-4.610
ABHD2	-10.084
ABHD3	-5.453
ABHD4	-9.826
ABHD5	-4.333
ABHD6	-7.017
ABHD8	-8.089
ABI1	-4.455
ABI2	-5.493
ABI3	-8.342
ABI3BP	-0.715
ABL1	-9.701
ABL2	-15.192
ABLIM1	-14.269
ABLIM2	-9.562
ABLIM3	-3.709
ABR	-15.847
ABRA	-5.141
ABRACL	-9.014
ABT1	4.843
ABTB1	-8.795
ABTB2	-5.654
ACAA1	-12.173
ACAA2	-3.429
ACACA	1.866
ACACB	-9.282
ACAD10	-5.486
ACAD11	-12.805
ACAD8	-0.301
ACAD9	-10.945
ACADL	-8.116
ACADM	-7.021
ACADS	-5.521
ACADSB	-1.175
ACADVL	-8.591
ACAN	-3.070
ACAP1	-9.835
ACAP2	-2.431
ACAP3	-6.889
ACAT1	2.384
ACAT2	-9.202
ACBD3	-3.823
ACBD4	-5.056
ACBD5	-4.013
ACBD6	-12.476
ACBD7	0.404
ACCS	-0.112
ACCSL	-4.233
ACD	-6.622
ACE	-5.464
ACE2	-7.763
ACER1	2.621
ACER2	-2.319
ACER3	-3.984
ACHE	-1.376
ACIN1	-1.737
ACKR2	-3.732
ACKR3	-3.235
ACKR4	-6.766
ACLY	-6.221
ACMSD	-8.498
ACN9	-2.774
ACO1	-3.477
ACO2	-2.675
ACOT1	-11.125
ACOT11	-11.037
ACOT12	-3.044
ACOT13	-6.212
ACOT2	-4.783
ACOT4	-7.039
ACOT6	-7.170
ACOT7	-10.881
ACOT8	-8.350
ACOT9	-7.900
ACOX1	-3.880
ACOX2	-1.618
ACOX3	-12.045
ACOXL	-1.167
ACP1	-15.765
ACP2	-2.272
ACP5	-3.926
ACP6	-15.567
ACPL2	-9.762
ACPP	-14.380
ACPT	-4.147
ACR	2.794
ACRBP	-4.972
ACRC	-15.838
ACRV1	-12.125
ACSBG1	-10.111
ACSBG2	-7.726
ACSF2	-4.284
ACSF3	-12.474
