CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
16	69170649	69177247	5	-1.9833	66746, 66750
16	69221276	69364334	15	-0.1617	66751, 66765
16	69370434	69374246	10	-1.9396	66766, 66775
16	69383488	69752322	20	-0.1418	66776, 66795
16	69782984	69788521	5	-1.9665	66796, 66800
16	69832618	70211289	21	-0.1298	66801, 66821
16	70285484	70310968	10	-3.0035	66822, 66831
16	70358549	70557300	25	-0.23	66832, 66856
16	70566489	70589104	5	-3.9968	66857, 66861
16	70688489	71724602	59	0.0397	66862, 66920
16	71736545	71795453	3	-0.9642	66921, 66923
16	71807211	72110435	31	-0.004	66924, 66954
16	72120674	72137589	10	-1.9702	66955, 66964
16	72174304	72845852	10	0.1504	66965, 66974
16	74334004	74339257	5	-2.1684	66975, 66979
16	74447495	74524993	6	-0.6376	66980, 66985
16	74525009	75669610	84	-0.0016	66986, 67069
16	75669942	75670405	3	-4.0553	67070, 67072
16	75675485	81045680	68	0.0806	67073, 67140
16	81045693	81053779	4	-1.7746	67141, 67144
16	81069661	85694778	166	-0.026	67145, 67310
16	85715203	85721166	5	-2.1275	67311, 67315
16	85743778	88808490	134	-0.2391	67316, 67449
16	88871049	88872268	5	-2.6313	67450, 67454
16	88876884	89592754	49	-0.0139	67455, 67503
16	89627630	89627783	5	-4.4351	67504, 67508
16	89644043	90141422	99	-0.0366	67509, 67607
17	96911	1552561	104	-0.049	67608, 67711
17	1552953	1581869	5	-1.9843	67712, 67716
17	1582930	1707971	26	0.1003	67717, 67742
17	1747243	1782647	5	-3.3858	67743, 67747
17	1840499	1960964	20	0.124	67748, 67767
17	2091696	2139845	5	-2.7264	67768, 67772
17	2218947	2224666	5	0.147	67773, 67777
17	2237862	2239448	5	-1.6493	67778, 67782
17	2264956	2381146	15	-0.1887	67783, 67797
17	2570318	2573632	5	-2.0055	67798, 67802
17	2601503	4621236	147	0.0271	67803, 67949
17	4635091	4636384	5	-2.0415	67950, 67954
17	4641701	4693328	30	0.0541	67955, 67984
17	4700035	4701081	4	-3.3278	67985, 67988
17	4711274	4846530	35	0.1622	67989, 68023
17	4849961	4851616	5	-1.2529	68024, 68028
17	4856122	5264667	59	0.0774	68029, 68087
17	5308398	5326150	12	-2.0057	68088, 68099
17	5336993	5388518	15	-0.3636	68100, 68114
17	5392294	5392591	5	-1.698	68115, 68119
17	5462635	6545142	36	0.17	68120, 68155
17	6547923	6553696	4	-2.3683	68156, 68159
17	6606283	7385884	198	0.0081	68160, 68357
17	7401396	7406567	5	-5.0962	68358, 68362
17	7452588	7463691	10	-0.0613	68363, 68372
17	7477922	7479975	4	-1.6703	68373, 68376
