GENE	BF
A1BG	-6.946
A1CF	-3.997
A2M	-13.636000000000001
A2ML1	-16.134999999999998
A3GALT2	-8.475
A4GALT	-9.496
A4GNT	-13.973
AAAS	-16.130000000000003
AACS	-4.918
AADAC	-19.576
AADACL2	-4.289000000000001
AADACL3	-10.784
AADACL4	-15.412999999999998
AADAT	-9.308
AAED1	-14.286
AAGAB	-9.587
AAK1	-13.478
AAMDC	-22.798000000000002
AAMP	35.355
AANAT	-15.789
AAR2	-12.993
AARD	-9.3
AARS	75.789
AARS2	-2.7110000000000003
AARSD1	-13.317
AASDH	-10.434
AASDHPPT	-11.047
AASS	-8.57
AATF	13.424
AATK	-10.045
ABAT	-14.315
ABCA1	-10.69
ABCA10	-8.86
ABCA12	-9.685
ABCA13	-7.965
ABCA2	-10.017
ABCA3	-26.613
ABCA4	-10.597
ABCA5	-11.98
ABCA6	-8.662
ABCA7	-14.988999999999999
ABCA8	-12.856
ABCA9	-12.308
ABCB1	-3.84
ABCB10	-11.402000000000001
ABCB11	-5.808
ABCB4	-10.093
ABCB5	-3.7560000000000002
ABCB6	-11.215
ABCB7	17.875999999999998
ABCB8	-10.56
ABCB9	-21.082
ABCC1	-10.33
ABCC10	-11.755
ABCC11	-11.465
ABCC12	-12.009
ABCC2	-10.805
ABCC3	-17.505000000000003
ABCC4	-10.835
ABCC5	-15.821
ABCC6	-9.47
ABCC8	-18.098999999999997
ABCC9	-17.811
ABCD1	-7.888999999999999
ABCD2	-9.831
ABCD3	-12.252
ABCD4	-13.114
ABCE1	104.17099999999999
ABCF1	17.656
ABCF2	-7.42
ABCF3	-19.153
ABCG1	-18.645000000000003
ABCG2	-16.192999999999998
ABCG4	-19.717
ABCG5	-21.139000000000003
ABCG8	-19.461
ABHD1	-12.372
ABHD10	-7.4719999999999995
ABHD11	-9.691
ABHD12	-8.947000000000001
ABHD12B	-18.661
ABHD13	-8.399000000000001
ABHD14A	-14.122000000000002
ABHD14B	-13.469
ABHD15	-4.263
ABHD16A	-12.144
ABHD16B	-15.441
ABHD17A	-2.9930000000000003
ABHD17B	-12.474
ABHD17C	-10.55
ABHD2	-14.382
ABHD3	-6.954000000000001
ABHD4	-18.436
ABHD5	-14.459999999999999
ABHD6	-16.523000000000003
ABHD8	-14.359
ABI1	-12.323
ABI2	-11.422
ABI3	-11.375
ABI3BP	-10.584
ABL1	-17.08
ABL2	-18.042
ABLIM1	-11.069
ABLIM2	-5.5040000000000004
ABLIM3	-6.168000000000001
ABR	-30.094
ABRA	-17.71
ABRACL	-10.370000000000001
ABT1	11.353
ABTB1	-8.007
ABTB2	-14.098999999999998
ACAA1	-10.714
ACAA2	-9.44
ACACA	-6.157
ACACB	-16.506999999999998
ACAD10	-10.694
ACAD11	-15.096000000000002
ACAD8	2.8979999999999997
ACAD9	-6.307
ACADL	-12.508000000000001
ACADM	-14.418000000000001
ACADS	-12.037
ACADSB	-14.934
ACADVL	-13.134
ACAN	-13.437
ACAP1	-21.848999999999997
ACAP2	-5.559
ACAP3	-5.9030000000000005
ACAT1	-11.68
ACAT2	-12.072000000000001
ACBD3	-27.442999999999998
ACBD4	-15.912999999999998
ACBD5	-11.669
ACBD6	-16.679000000000002
ACBD7	-7.776
ACCS	-13.826
ACCSL	-8.885
ACD	-4.474
ACE	-11.679
ACE2	-10.824
ACER1	-5.524
ACER2	-3.7190000000000003
ACER3	-4.368
ACHE	-10.861
ACIN1	3.5279999999999996
ACKR2	-14.162
ACKR3	-17.689
ACKR4	-6.619
ACLY	15.309
ACMSD	-12.395
ACN9	-10.989
ACO1	-11.612
ACO2	-10.705
ACOT1	-13.006
ACOT11	-13.068
ACOT12	-11.754
ACOT13	-10.646
ACOT2	-7.148
ACOT4	-13.41
ACOT6	-17.183999999999997
ACOT7	-14.808000000000002
ACOT8	-15.289
ACOT9	-12.108
ACOX1	-16.764000000000003
ACOX2	-10.794
ACOX3	-12.817
ACOXL	-21.374000000000002
ACP1	-29.564999999999998
ACP2	-11.158
ACP5	-12.596
ACP6	-24.186999999999998
ACPL2	-12.748
ACPP	-8.77
ACPT	-15.316999999999998
ACR	4.649
ACRBP	-9.688
ACRC	-10.575
ACRV1	-15.097
ACSBG1	-15.653
ACSBG2	-14.872000000000002
ACSF2	-12.639
ACSF3	-18.136000000000003
ACSL1	-9.594
ACSL3	-6.407
ACSL4	-9.646
ACSL5	-1.016
ACSL6	-20.160000000000004
ACSM1	-5.571
ACSM2A	-14.773000000000001
ACSM2B	-6.633000000000001
ACSM3	-13.688
ACSM4	-9.34
ACSM5	-9.854000000000001
ACSS1	-16.404000000000003
ACSS2	-12.64
ACSS3	-20.213
ACTA1	-13.55
ACTA2	-12.09
ACTB	1.4289999999999998
ACTBL2	-18.668
ACTC1	-16.043
ACTG1	12.74
ACTG2	-16.753999999999998
ACTL10	-17.104999999999997
ACTL6A	45.172
ACTL6B	-19.781
ACTL7A	-16.186
ACTL7B	-17.902
ACTL8	-14.589
ACTL9	-10.694
ACTN1	-11.17
ACTN2	-15.366999999999999
ACTN4	-11.514
ACTR10	29.89
ACTR1A	8.099
ACTR1B	-18.968000000000004
ACTR2	28.994
ACTR3	7.226
ACTR3B	-4.476
ACTR3C	-2.8369999999999997
ACTR5	-5.043
ACTR6	8.617999999999999
ACTR8	7.247
ACTRT1	-17.439999999999998
ACTRT2	-17.448
