GENE	BF
A1BG	-9.020
A1CF	-6.071
A2M	-15.710
A2ML1	-18.209
A3GALT2	-10.549
A4GALT	-11.570
A4GNT	-16.047
AAAS	-18.204
AACS	-6.992
AADAC	-21.650
AADACL2	-6.363
AADACL3	-12.858
AADACL4	-17.487
AADAT	-11.382
AAED1	-16.360
AAGAB	-11.661
AAK1	-15.552
AAMDC	-24.872
AAMP	33.281
AANAT	-17.863
AAR2	-15.067
AARD	-11.374
AARS	73.715
AARS2	-4.785
AARSD1	-15.391
AASDH	-12.508
AASDHPPT	-13.121
AASS	-10.644
AATF	11.350
AATK	-12.119
ABAT	-16.389
ABCA1	-12.764
ABCA10	-10.934
ABCA12	-11.759
ABCA13	-10.039
ABCA2	-12.091
ABCA3	-28.687
ABCA4	-12.671
ABCA5	-14.054
ABCA6	-10.736
ABCA7	-17.063
ABCA8	-14.930
ABCA9	-14.382
ABCB1	-5.914
ABCB10	-13.476
ABCB11	-7.882
ABCB4	-12.167
ABCB5	-5.830
ABCB6	-13.289
ABCB7	15.802
ABCB8	-12.634
ABCB9	-23.156
ABCC1	-12.404
ABCC10	-13.829
ABCC11	-13.539
ABCC12	-14.083
ABCC2	-12.879
ABCC3	-19.579
ABCC4	-12.909
ABCC5	-17.895
ABCC6	-11.544
ABCC8	-20.173
ABCC9	-19.885
ABCD1	-9.963
ABCD2	-11.905
ABCD3	-14.326
ABCD4	-15.188
ABCE1	102.097
ABCF1	15.582
ABCF2	-9.494
ABCF3	-21.227
ABCG1	-20.719
ABCG2	-18.267
ABCG4	-21.791
ABCG5	-23.213
ABCG8	-21.535
ABHD1	-14.446
ABHD10	-9.546
ABHD11	-11.765
ABHD12	-11.021
ABHD12B	-20.735
ABHD13	-10.473
ABHD14A	-16.196
ABHD14B	-15.543
ABHD15	-6.337
ABHD16A	-14.218
ABHD16B	-17.515
ABHD17A	-5.067
ABHD17B	-14.548
ABHD17C	-12.624
ABHD2	-16.456
ABHD3	-9.028
ABHD4	-20.510
ABHD5	-16.534
ABHD6	-18.597
ABHD8	-16.433
ABI1	-14.397
ABI2	-13.496
ABI3	-13.449
ABI3BP	-12.658
ABL1	-19.154
ABL2	-20.116
ABLIM1	-13.143
ABLIM2	-7.578
ABLIM3	-8.242
ABR	-32.168
ABRA	-19.784
ABRACL	-12.444
ABT1	9.279
ABTB1	-10.081
ABTB2	-16.173
ACAA1	-12.788
ACAA2	-11.514
ACACA	-8.231
ACACB	-18.581
ACAD10	-12.768
ACAD11	-17.170
ACAD8	0.824
ACAD9	-8.381
ACADL	-14.582
ACADM	-16.492
ACADS	-14.111
ACADSB	-17.008
ACADVL	-15.208
ACAN	-15.511
ACAP1	-23.923
ACAP2	-7.633
