GENE	BF
A1BG	-3.5939999999999994
A1CF	5.748
A2M	-15.72
A2ML1	-9.474
A3GALT2	-6.711
A4GALT	-5.545
A4GNT	-14.777
AAAS	-9.828999999999999
AACS	-11.126999999999999
AADAC	-14.035
AADACL2	0.889
AADACL3	-10.214
AADACL4	-14.525999999999998
AADAT	-10.734
AAED1	-15.749
AAGAB	-9.863999999999999
AAK1	-13.264
AAMDC	-15.97
AAMP	29.423
AANAT	-11.1
AAR2	-10.719999999999999
AARD	-8.337
AARS	73.60900000000001
AARS2	-10.967
AARSD1	-4.5169999999999995
AASDH	-9.85
AASDHPPT	-13.219
AASS	-6.7059999999999995
AATF	11.315
AATK	-15.857999999999999
ABAT	-11.499
ABCA1	-9.866
ABCA10	-14.177999999999999
ABCA12	-14.880999999999998
ABCA13	-8.53
ABCA2	-12.283
ABCA3	-22.568
ABCA4	-8.568
ABCA5	-9.343
ABCA6	-2.5
ABCA7	-12.241999999999999
ABCA8	-13.078
ABCA9	-10.325
ABCB1	1.608
ABCB10	-8.809
ABCB11	-10.008
ABCB4	-12.75
ABCB5	-12.898
ABCB6	-14.083
ABCB7	-6.189
ABCB8	-15.292
ABCB9	-13.016
ABCC1	-9.75
ABCC10	-9.487
ABCC11	-12.666
ABCC12	-8.299
ABCC2	-6.964
ABCC3	-15.700000000000001
ABCC4	-22.004
ABCC5	-13.956
ABCC6	-18.069000000000003
ABCC8	-11.844999999999999
ABCC9	-14.333
ABCD1	-14.108
ABCD2	-6.885999999999999
ABCD3	-10.919
ABCD4	-12.9
ABCE1	77.532
ABCF1	8.865
ABCF2	-3.9109999999999996
ABCF3	-13.397
ABCG1	-10.419
ABCG2	-8.126999999999999
ABCG4	-12.383
ABCG5	-17.714000000000002
ABCG8	-17.037000000000003
ABHD1	-11.575
ABHD10	-3.652
ABHD11	-8.318999999999999
ABHD12	-12.027
ABHD12B	-16.676000000000002
ABHD13	-6.047
ABHD14A	-13.308
ABHD14B	-11.731
ABHD15	-10.714
ABHD16A	-11.188
ABHD16B	-15.491000000000001
ABHD17A	-4.34
ABHD17B	-15.368
ABHD17C	-11.097
ABHD2	-12.765
ABHD3	-9.735999999999999
ABHD4	-12.158
ABHD5	-8.424
ABHD6	-18.644000000000002
ABHD8	-17.247
ABI1	-12.024
ABI2	-11.756
ABI3	-10.906
ABI3BP	-4.88
ABL1	-17.118000000000002
ABL2	-13.89
ABLIM1	-4.0969999999999995
ABLIM2	-9.652
ABLIM3	-12.371
ABR	-27.363000000000003
ABRA	-18.495
ABRACL	-5.149
ABT1	1.436
ABTB1	-10.596
ABTB2	-13.259
ACAA1	-11.033
ACAA2	-2.4879999999999995
ACACA	-9.026
ACACB	-12.690999999999999
ACAD10	-13.331999999999999
ACAD11	-15.842
ACAD8	-4.592
ACAD9	-12.824
ACADL	-16.89
ACADM	-12.311
ACADS	-16.755000000000003
ACADSB	-1.406
ACADVL	-13.897
ACAN	-10.597999999999999
ACAP1	-12.03
ACAP2	-2.811
ACAP3	-5.135
ACAT1	-11.706999999999999
ACAT2	-10.422
ACBD3	-17.059
ACBD4	-15.581999999999999
ACBD5	-7.702
ACBD6	-20.789
ACBD7	-15.394
ACCS	-8.392
ACCSL	-10.174
ACD	-6.552999999999999
ACE	-7.193
ACE2	-13.613999999999999
ACER1	-0.8389999999999997
ACER2	-5.5009999999999994
ACER3	-10.834
ACHE	-4.13
ACIN1	6.595000000000001
ACKR2	-8.033
ACKR3	-13.509
ACKR4	-10.632
ACLY	14.133000000000001
ACMSD	-8.61
ACN9	-7.1080000000000005
ACO1	-11.616
ACO2	16.212
ACOT1	-13.786
ACOT11	-5.1
ACOT12	-11.379
ACOT13	-7.840999999999999
ACOT2	-3.0599999999999996
ACOT4	-9.139
ACOT6	-10.334999999999999
ACOT7	-17.323
ACOT8	-15.866999999999999
ACOT9	-9.76
ACOX1	-3.316
ACOX2	-5.423
ACOX3	-13.619
ACOXL	-17.51
ACP1	-33.73
ACP2	-7.686
ACP5	-11.802999999999999
ACP6	-16.492
ACPL2	-9.74
ACPP	-11.229
ACPT	-12.911999999999999
ACR	-0.383
ACRBP	-12.719999999999999
ACRC	-11.269
ACRV1	-11.818
ACSBG1	-12.453
ACSBG2	-12.395
ACSF2	-12.779
ACSF3	-11.368
ACSL1	-16.5
ACSL3	-12.16
ACSL4	-8.188
ACSL5	-5.013
ACSL6	-11.811
ACSM1	-9.017
ACSM2A	-16.864
ACSM2B	-6.933999999999999
ACSM3	-9.874
ACSM4	-10.147
ACSM5	-10.295
ACSS1	-17.091
ACSS2	-9.818999999999999
ACSS3	-12.411
ACTA1	-14.03
ACTA2	-15.531999999999998
ACTB	0.19700000000000006
ACTBL2	-10.53
ACTC1	-14.603
ACTG1	1.1260000000000001
ACTG2	-12.729
ACTL10	-18.079
ACTL6A	77.593
ACTL6B	-13.859
ACTL7A	-12.971
ACTL7B	-14.221
ACTL8	-13.262
ACTL9	-17.077
ACTN1	-8.263
ACTN2	-16.577
ACTN4	-13.999
ACTR10	18.122999999999998
ACTR1A	10.936
ACTR1B	-16.854000000000003
ACTR2	36.113
ACTR3	2.748
ACTR3B	-8.276
ACTR3C	-5.045999999999999
ACTR5	-19.561
ACTR6	17.883
ACTR8	-3.752
ACTRT1	-15.025
ACTRT2	-13.565
ACTRT3	-5.9959999999999996
ACVR1	-14.181
ACVR1B	-8.165
ACVR1C	-6.354
ACVR2A	-9.818999999999999
ACVR2B	-9.78
ACVRL1	-15.412
ACY1	-9.426
ACY3	-7.355
ACYP1	-13.631
ACYP2	-17.111
ADA	-10.696
ADAD1	-15.802000000000001
ADAD2	-8.309
ADAL	-6.287
ADAM10	-0.7859999999999998
ADAM11	-7.93
ADAM12	-6.525
ADAM15	-18.173000000000002
ADAM17	-14.476
ADAM18	-12.887
ADAM19	-14.447999999999999
ADAM2	-0.40900000000000003
ADAM20	-11.022
ADAM21	-7.538
ADAM22	-13.919
ADAM23	-8.663
ADAM28	-16.067
ADAM29	-14.746999999999998
ADAM30	-10.474
ADAM32	-10.555
ADAM33	-8.894
ADAM7	-12.615
ADAM8	-11.806
ADAM9	-10.506
ADAMDEC1	-9.346
ADAMTS1	-13.584
ADAMTS10	-12.991999999999999
ADAMTS12	-12.475
ADAMTS13	-13.334999999999999
ADAMTS14	-8.190999999999999
ADAMTS15	-11.866999999999999
ADAMTS16	-15.879
ADAMTS17	-8.213
ADAMTS18	-14.734
ADAMTS19	-15.424999999999999
ADAMTS2	-13.609
ADAMTS20	-4.771999999999999
ADAMTS3	-10.703
ADAMTS4	-2.8949999999999996
ADAMTS5	-13.57
ADAMTS6	-9.654
ADAMTS7	-10.036
ADAMTS8	-12.966
ADAMTS9	-6.965
ADAMTSL1	-11.735999999999999
ADAMTSL2	-8.747
ADAMTSL3	-12.456999999999999
ADAMTSL4	-3.899
ADAMTSL5	-5.507
ADAP1	-10.687
ADAP2	-16.819000000000003
ADAR	-9.512
ADARB1	-11.321
ADARB2	-12.674
ADAT1	-12.177999999999999
ADAT2	-7.802
ADAT3	-4.302
ADC	-12.594
ADCK1	-11.712
ADCK2	-7.8100000000000005
ADCK3	-10.715
ADCK4	-13.567
ADCK5	-16.929000000000002
ADCY1	-10.968
ADCY10	-8.705
ADCY2	-9.494
ADCY3	-7.744
