GENE	BF
A1BG	-5.148
A1CF	4.194
A2M	-17.274
A2ML1	-11.028
A3GALT2	-8.265
A4GALT	-7.099
A4GNT	-16.331
AAAS	-11.383
AACS	-12.681
AADAC	-15.589
AADACL2	-0.665
AADACL3	-11.768
AADACL4	-16.080
AADAT	-12.288
AAED1	-17.303
AAGAB	-11.418
AAK1	-14.818
AAMDC	-17.524
AAMP	27.869
AANAT	-12.654
AAR2	-12.274
AARD	-9.891
AARS	72.055
AARS2	-12.521
AARSD1	-6.071
AASDH	-11.404
AASDHPPT	-14.773
AASS	-8.260
AATF	9.761
AATK	-17.412
ABAT	-13.053
ABCA1	-11.420
ABCA10	-15.732
ABCA12	-16.435
ABCA13	-10.084
ABCA2	-13.837
ABCA3	-24.122
ABCA4	-10.122
ABCA5	-10.897
ABCA6	-4.054
ABCA7	-13.796
ABCA8	-14.632
ABCA9	-11.879
ABCB1	0.054
ABCB10	-10.363
ABCB11	-11.562
ABCB4	-14.304
ABCB5	-14.452
ABCB6	-15.637
ABCB7	-7.743
ABCB8	-16.846
ABCB9	-14.570
ABCC1	-11.304
ABCC10	-11.041
ABCC11	-14.220
ABCC12	-9.853
ABCC2	-8.518
ABCC3	-17.254
ABCC4	-23.558
ABCC5	-15.510
ABCC6	-19.623
ABCC8	-13.399
ABCC9	-15.887
ABCD1	-15.662
ABCD2	-8.440
ABCD3	-12.473
ABCD4	-14.454
ABCE1	75.978
ABCF1	7.311
ABCF2	-5.465
ABCF3	-14.951
ABCG1	-11.973
ABCG2	-9.681
ABCG4	-13.937
ABCG5	-19.268
ABCG8	-18.591
ABHD1	-13.129
ABHD10	-5.206
ABHD11	-9.873
ABHD12	-13.581
ABHD12B	-18.230
ABHD13	-7.601
ABHD14A	-14.862
ABHD14B	-13.285
ABHD15	-12.268
ABHD16A	-12.742
ABHD16B	-17.045
ABHD17A	-5.894
ABHD17B	-16.922
ABHD17C	-12.651
ABHD2	-14.319
ABHD3	-11.290
ABHD4	-13.712
ABHD5	-9.978
ABHD6	-20.198
ABHD8	-18.801
ABI1	-13.578
ABI2	-13.310
ABI3	-12.460
ABI3BP	-6.434
ABL1	-18.672
ABL2	-15.444
ABLIM1	-5.651
ABLIM2	-11.206
ABLIM3	-13.925
ABR	-28.917
ABRA	-20.049
ABRACL	-6.703
ABT1	-0.118
ABTB1	-12.150
ABTB2	-14.813
ACAA1	-12.587
ACAA2	-4.042
ACACA	-10.580
ACACB	-14.245
ACAD10	-14.886
ACAD11	-17.396
ACAD8	-6.146
ACAD9	-14.378
ACADL	-18.444
ACADM	-13.865
ACADS	-18.309
ACADSB	-2.960
ACADVL	-15.451
ACAN	-12.152
ACAP1	-13.584
ACAP2	-4.365
ACAP3	-6.689
ACAT1	-13.261
ACAT2	-11.976
ACBD3	-18.613
ACBD4	-17.136
ACBD5	-9.256
ACBD6	-22.343
ACBD7	-16.948
ACCS	-9.946
ACCSL	-11.728
ACD	-8.107
ACE	-8.747
ACE2	-15.168
ACER1	-2.393
ACER2	-7.055
ACER3	-12.388
ACHE	-5.684
ACIN1	5.041
ACKR2	-9.587
ACKR3	-15.063
ACKR4	-12.186
ACLY	12.579
ACMSD	-10.164
ACN9	-8.662
ACO1	-13.170
ACO2	14.658
ACOT1	-15.340
ACOT11	-6.654
ACOT12	-12.933
ACOT13	-9.395
ACOT2	-4.614
ACOT4	-10.693
ACOT6	-11.889
ACOT7	-18.877
ACOT8	-17.421
ACOT9	-11.314
ACOX1	-4.870
ACOX2	-6.977
ACOX3	-15.173
ACOXL	-19.064
ACP1	-35.284
ACP2	-9.240
ACP5	-13.357
ACP6	-18.046
ACPL2	-11.294
ACPP	-12.783
ACPT	-14.466
ACR	-1.937
ACRBP	-14.274
ACRC	-12.823
ACRV1	-13.372
ACSBG1	-14.007
ACSBG2	-13.949
ACSF2	-14.333
ACSF3	-12.922
ACSL1	-18.054
ACSL3	-13.714
ACSL4	-9.742
ACSL5	-6.567
ACSL6	-13.365
ACSM1	-10.571
ACSM2A	-18.418
ACSM2B	-8.488
ACSM3	-11.428
ACSM4	-11.701
ACSM5	-11.849
ACSS1	-18.645
ACSS2	-11.373
ACSS3	-13.965
ACTA1	-15.584
ACTA2	-17.086
ACTB	-1.357
ACTBL2	-12.084
ACTC1	-16.157
ACTG1	-0.428
ACTG2	-14.283
ACTL10	-19.633
ACTL6A	76.039
ACTL6B	-15.413
ACTL7A	-14.525
ACTL7B	-15.775
ACTL8	-14.816
ACTL9	-18.631
ACTN1	-9.817
ACTN2	-18.131
ACTN4	-15.553
ACTR10	16.569
ACTR1A	9.382
ACTR1B	-18.408
ACTR2	34.559
ACTR3	1.194
ACTR3B	-9.830
ACTR3C	-6.600
ACTR5	-21.115
