GENE	BF
ADAT1	-14.550
ADAT2	-7.029
ADAT3	-3.784
ADC	-12.119
ADCK1	-9.285
ADCK2	-2.386
ADCK3	-14.274
ADCK4	-11.935
ADCK5	-18.370
ADCY1	-14.482
ADCY10	-12.632
ADCY2	-16.956
ADCY3	-12.400
ADCY4	-17.164
ADCY5	-14.936
ADCY6	-15.539
ADCY7	-12.955
ADCY8	-1.581
ADCY9	-9.895
ADCYAP1	-14.143
ADCYAP1R1	-13.898
ADD1	-7.429
ADD2	-10.519
ADD3	-8.535
ADH1A	-7.700
ADH1B	-10.603
ADH4	-15.335
ADH5	0.148
ADH6	-7.007
ADH7	-13.687
ADHFE1	-2.240
ADI1	-11.838
ADIG	-7.200
ADIPOQ	-16.491
ADIPOR1	-18.794
ADIPOR2	-7.387
ADIRF	-7.992
ADK	-14.925
ADM	-12.629
ADM2	-16.204
ADM5	-10.399
ADNP	-10.416
ADNP2	-6.837
ADO	-14.413
ADORA1	-10.337
ADORA2A	-11.932
ADORA2B	-18.697
ADORA3	-30.406
ADPGK	-11.810
ADPRH	-12.752
ADPRHL1	-6.832
ADPRHL2	-8.047
ADPRM	-5.958
ADRA1A	-14.314
ADRA1B	-10.146
ADRA1D	-9.441
ADRA2A	-8.301
ADRA2B	-18.398
ADRA2C	-9.294
ADRB1	-15.620
ADRB2	-13.316
ADRB3	-12.452
ADRBK1	-11.314
ADRBK2	-14.897
ADRM1	-4.255
ADSL	0.748
ADSS	-11.761
ADSSL1	-12.369
ADTRP	-17.885
AEBP1	-21.994
AEBP2	-10.481
AEN	-11.011
AES	-14.314
AFAP1	-17.045
AFAP1L1	-13.735
AFAP1L2	-11.288
AFF1	-10.699
AFF2	-15.606
AFF3	-20.922
AFF4	-7.603
AFG3L2	26.440
AFM	-21.315
AFMID	-13.413
AFP	-3.947
AFTPH	-14.841
AGA	-11.260
AGAP1	-16.111
AGAP2	-7.111
AGAP3	-19.554
AGAP5	-2.767
AGAP6	7.155
AGAP7	4.024
AGBL1	-12.045
AGBL2	-23.019
AGBL3	-12.460
AGBL4	-15.094
AGBL5	-14.758
AGER	-14.511
AGFG1	-11.820
AGFG2	-9.828
AGGF1	-16.996
AGK	-9.609
AGL	-15.518
AGMAT	-15.678
AGMO	-10.552
AGO1	-12.058
AGO2	-22.404
AGO3	-6.182
AGO4	-16.300
AGPAT1	-4.444
AGPAT2	-7.272
AGPAT3	-11.881
AGPAT4	-13.985
AGPAT5	-16.784
AGPAT6	-23.045
AGPAT9	-14.047
AGPS	-20.193
AGR2	-13.860
AGR3	-3.307
AGRN	-15.075
AGRP	-14.518
AGT	-17.929
AGTPBP1	-14.930
AGTR1	-7.459
AGTR2	-9.056
AGTRAP	-29.364
AGXT	-18.350
AGXT2	-14.884
AHCTF1	0.647
AHCY	-3.140
AHCYL1	-9.330
AHCYL2	-7.433
AHDC1	-12.951
AHI1	-13.694
AHNAK	-7.015
AHNAK2	-17.282
AHR	-6.386
AHRR	-15.942
AHSA1	-11.073
AHSA2	-12.175
AHSG	-11.251
AHSP	-16.579
AICDA	-15.510
AIDA	-13.007
AIF1	-15.506
AIF1L	-22.086
AIFM1	-0.615
AIFM2	-10.435
AIFM3	-13.639
AIG1	-14.725
AIM1	-16.355
AIM2	-15.855
AIMP1	-8.181
AIMP2	-6.598
AIP	-15.282
AIPL1	-16.416
AIRE	-18.800
AJAP1	-12.449
AJUBA	-38.851
AK1	-14.391
AK2	3.571
AK3	0.540
AK4	2.311
AK5	-10.900
AK6	-4.741
AK7	-16.477
AK8	-9.525
AK9	-12.735
AKAP1	-3.431
AKAP10	-17.480
AKAP11	-15.352
AKAP12	-10.121
AKAP13	-10.314
AKAP14	-22.794
AKAP17A	-4.845
AKAP2	-14.048
AKAP3	-11.103
AKAP4	-6.759
AKAP5	-11.286
AKAP6	-16.462
AKAP7	-28.720
AKAP8	-15.192
AKAP8L	-9.512
AKAP9	-10.726
AKIP1	-5.783
AKIRIN1	-6.812
AKIRIN2	-2.540
AKNA	-12.392
AKNAD1	-15.279
AKR1A1	-20.494
AKR1B1	-9.547
AKR1B10	-12.628
AKR1B15	6.439
AKR1C1	-9.482
AKR1C2	-8.436
AKR1C3	-12.821
AKR1C4	-13.493
AKR1D1	0.561
AKR1E2	-20.476
AKR7A2	-8.554
AKR7A3	-5.007
AKT1	-10.317
AKT1S1	-18.475
AKT2	-12.789
AKT3	-14.925
AKTIP	2.001
ALAD	5.747
ALAS1	-5.375
ALAS2	-8.640
ALB	-19.355
ALCAM	-6.864
ALDH16A1	-10.562
ALDH18A1	-14.926
