CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
1	871254	1244965	94	0	1, 94
1	1249245	1250822	5	-1.1145	95, 99
1	1262380	1475132	76	0	100, 175
1	1480324	1500283	5	-1.1597	176, 180
1	1534990	9995612	392	0	181, 572
1	10032228	10042464	5	-1.8227	573, 577
1	10067639	10356695	15	-0	578, 592
1	10463124	10471583	5	-1.2084	593, 597
1	10493933	11253792	56	-0	598, 653
1	11288870	11313970	4	-1.2193	654, 657
1	11317057	19282716	413	-0	658, 1070
1	19478236	19536582	5	-1.0189	1071, 1075
1	19564536	22333930	182	0	1076, 1257
1	22405055	22413190	4	-1.015	1258, 1261
1	22413197	23885834	86	0	1262, 1347
1	24019204	24021256	5	-1.3645	1348, 1352
1	24070053	24932132	90	0	1353, 1442
1	24932139	24981470	6	-0.8964	1443, 1448
1	25124273	26751873	143	0	1449, 1591
1	26764677	26786564	5	-1.4302	1592, 1596
1	26800604	32691836	383	0.0037	1597, 1979
1	32692053	32694195	3	-1.3748	1980, 1982
1	32713132	33234267	64	-0	1983, 2046
1	33252645	33276587	5	-1.0061	2047, 2051
1	33291991	35578903	122	0	2052, 2173
1	35657023	35658539	5	-1.8635	2174, 2178
1	35824686	36074913	21	-0	2179, 2199
1	36074935	36096947	4	-2.2214	2200, 2203
1	36181583	36227609	9	-0.6696	2204, 2212
1	36230192	38265636	141	0	2213, 2353
1	38272859	38273595	5	-1.2496	2354, 2358
1	38274266	38411472	17	0	2359, 2375
1	38446321	38455241	5	-2.4732	2376, 2380
1	38463699	43825033	317	-0	2381, 2697
1	43825172	43825508	4	-2.2955	2698, 2701
1	43830053	45221656	112	-0	2702, 2813
1	45242372	45243476	5	-2.2605	2814, 2818
1	45251835	45297937	20	-0	2819, 2838
1	45363089	45444132	5	-2.1851	2839, 2843
1	45474252	52825904	327	0.0044	2844, 3170
1	52854926	52876873	10	-1.393	3171, 3180
1	52941006	89270174	818	-0	3181, 3998
1	89323036	89352977	5	-2.4194	3999, 4003
1	89427067	91859671	86	0	4004, 4089
1	91973927	91981373	5	-1.8285	4090, 4094
1	92185679	109714566	361	-0.0038	4095, 4455
1	109772097	109773572	4	-2.7489	4456, 4459
1	109774293	109898015	20	0	4460, 4479
1	109953699	109954804	4	-2.0629	4480, 4483
1	109955697	151209243	956	0.0018	4484, 5439
1	151210653	151238589	5	-1.5122	5440, 5444
1	151238779	151342004	21	-0	5445, 5465
1	151372175	151372677	5	-2.4416	5466, 5470
1	151381033	154543966	432	-0.0031	5471, 5902
1	154570948	154573656	5	-1.361	5903, 5907
1	154744449	156215338	266	-0	5908, 6173
1	156215416	156243208	6	-0.8703	6174, 6179
1	156255288	156264803	10	0.0216	6180, 6189
1	156287310	156303406	5	-1.2007	6190, 6194
1	156314421	156670810	55	0	6195, 6249
1	156696762	156697356	5	-0.8155	6250, 6254
1	156698990	160253369	287	0.0044	6255, 6541
1	160269028	160303447	5	-3.1736	6542, 6546
1	160318816	161094088	123	0.0068	6547, 6669
1	161123899	161127933	5	-0.8517	6670, 6674
1	161130776	163138115	186	-0	6675, 6860
1	163295942	163309250	4	-2.0933	6861, 6864
1	163310146	193070313	754	-0	6865, 7618
1	193094259	193111100	5	-1.3261	7619, 7623
1	193150073	204228858	392	0.0041	7624, 8015
1	204379635	204380432	5	-1.7459	8016, 8020
1	204416620	212151813	343	0	8021, 8363
1	212161260	212241971	9	-0.9903	8364, 8372
1	212502585	231362740	543	0.007	8373, 8915
1	231362774	231362816	2	-1.8635	8916, 8917
1	231374810	236703984	151	0	8918, 9068
1	236738159	236767275	4	-1.5001	9069, 9072
1	236881167	245005530	120	0	9073, 9192
1	245023658	245222706	7	-0.9997	9193, 9199
1	245222712	246922362	29	-0	9200, 9228
1	247030955	247063652	5	-0.9406	9229, 9233
1	247151408	249212038	69	-0	9234, 9302
2	46045	3604446	70	0	9303, 9372
2	3623456	3625365	3	-2.2287	9373, 9375
2	3687904	10220249	94	0	9376, 9469
2	10263116	10267281	5	-1.9469	9470, 9474
2	10282406	24285943	229	-0	9475, 9703
2	24291228	24296965	5	-1.7916	9704, 9708
2	24303817	27355769	190	0.0164	9709, 9898
2	27356015	27356521	4	-1.0797	9899, 9902
2	27360442	27565850	54	-0.0044	9903, 9956
2	27590879	27591250	4	-2.5446	9957, 9960
2	27591994	28999827	95	-0	9961, 10055
2	29001729	29001881	3	-2.5443	10056, 10058
2	29039039	29093017	10	-0.0531	10059, 10068
2	29117664	29135549	5	-1.7517	10069, 10073
2	29222070	30143345	20	-0	10074, 10093
2	30379604	30381589	5	-1.1812	10094, 10098
2	30457337	37414622	132	0.0174	10099, 10230
2	37454822	37455617	3	-0.746	10231, 10233
