CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
1	871254	1244965	94	-0.0019	1, 94
1	1249245	1250822	5	-1.1145	95, 99
1	1262380	1475132	76	-0.0724	100, 175
1	1480324	1500283	5	-1.1597	176, 180
1	1534990	1603043	20	0.0711	181, 200
1	1643690	1747298	20	-0.5398	201, 220
1	1847932	9995612	352	-0.0261	221, 572
1	10032228	10042464	5	-1.8227	573, 577
1	10067639	10356695	15	-0.0988	578, 592
1	10463124	10471583	5	-1.2084	593, 597
1	10493933	11253792	56	-0.1119	598, 653
1	11288870	11313970	4	-1.2193	654, 657
1	11317057	19282716	413	-0.0472	658, 1070
1	19478236	19536582	5	-1.0189	1071, 1075
1	19564536	22333930	182	-0.0548	1076, 1257
1	22405055	22413190	4	-1.015	1258, 1261
1	22413197	23885834	86	-0.0252	1262, 1347
1	24019204	24021256	5	-1.3645	1348, 1352
1	24070053	24932132	90	-0.0548	1353, 1442
1	24932139	24981470	6	-0.8964	1443, 1448
1	25124273	26751873	143	-0.0635	1449, 1591
1	26764677	26786564	5	-1.4302	1592, 1596
1	26800604	28159333	133	-0.1613	1597, 1729
1	28165343	28233538	25	-0.6909	1730, 1754
1	28271934	32691836	225	-0.1008	1755, 1979
1	32692053	32694195	3	-1.3748	1980, 1982
1	32713132	33234267	64	-0.1102	1983, 2046
1	33252645	33276587	5	-1.0061	2047, 2051
1	33291991	35578903	122	-0.0548	2052, 2173
1	35657023	35658539	5	-1.8635	2174, 2178
1	35824686	36074913	21	-0.0499	2179, 2199
1	36074935	36096947	4	-2.2214	2200, 2203
1	36181583	36227609	9	-0.6696	2204, 2212
1	36230192	38265636	141	-0.2187	2213, 2353
1	38272859	38273595	5	-1.2496	2354, 2358
1	38274266	38411472	17	-0.2782	2359, 2375
1	38446321	38455241	5	-2.4732	2376, 2380
1	38463699	43825033	317	-0.1707	2381, 2697
1	43825172	43825508	4	-2.2955	2698, 2701
1	43830053	45221656	112	-0.1976	2702, 2813
1	45242372	45243476	5	-2.2605	2814, 2818
1	45251835	45297937	20	-0.1843	2819, 2838
1	45363089	45444132	5	-2.1851	2839, 2843
1	45474252	52825904	327	-0.1178	2844, 3170
1	52854926	52876873	10	-1.393	3171, 3180
1	52941006	89270174	818	-0.103	3181, 3998
1	89323036	89352977	5	-2.4194	3999, 4003
1	89427067	91859671	86	-0.1019	4004, 4089
1	91973927	91981373	5	-1.8285	4090, 4094
1	92185679	109714566	361	-0.1786	4095, 4455
1	109772097	109773572	4	-2.7489	4456, 4459
1	109774293	109898015	20	-0.3144	4460, 4479
1	109953699	109954804	4	-2.0629	4480, 4483
1	109955697	120508146	551	-0.2056	4484, 5034
1	120930091	145416467	41	-0.6494	5035, 5075
1	145416482	151209243	364	-0.1902	5076, 5439
1	151210653	151238589	5	-1.5122	5440, 5444
1	151238779	151342004	21	-0.0201	5445, 5465
1	151372175	151372677	5	-2.4416	5466, 5470
1	151381033	154543966	432	-0.0856	5471, 5902
1	154570948	154573656	5	-1.361	5903, 5907
1	154744449	155110186	77	0.0112	5908, 5984
1	155112532	156215338	189	-0.203	5985, 6173
1	156215416	156243208	6	-0.8703	6174, 6179
1	156255288	156264803	10	0.0216	6180, 6189
