GENE	BF
A1BG	-2.674
A1CF	0.893
A2M	-4.053
A2ML1	-4.329
A3GALT2	1.402
A4GALT	-3.544
A4GNT	-3.379
AAAS	-6.321
AACS	-1.422
AADAC	-2.004
AADACL2	-0.144
AADACL3	2.602
AADACL4	-5.703
AADAT	-0.636
AAED1	-5.888
AAGAB	-3.894
AAK1	-6.907
AAMDC	-2.643
AAMP	4.380
AANAT	-4.578
AAR2	-2.993
AARD	-0.376
AARS	17.980
AARS2	-1.407
AARSD1	2.050
AASDH	0.933
AASDHPPT	-4.954
AASS	-1.416
AATF	-0.658
AATK	-3.043
ABAT	-4.833
ABCA1	-4.258
ABCA10	-6.616
ABCA12	0.472
ABCA13	-3.328
ABCA2	-1.897
ABCA3	-14.008
ABCA4	0.231
ABCA5	-0.369
ABCA6	2.259
ABCA7	-5.150
ABCA8	-1.059
ABCA9	-6.932
ABCB1	8.306
ABCB10	-1.415
ABCB11	0.533
ABCB4	-1.187
ABCB5	1.850
ABCB6	-0.729
ABCB7	1.550
ABCB8	1.201
ABCB9	-2.155
ABCC1	-3.158
ABCC10	-4.551
ABCC11	-5.292
ABCC12	-2.060
ABCC2	0.043
ABCC3	-3.700
ABCC4	-2.501
ABCC5	-2.956
ABCC6	-5.461
ABCC8	1.743
ABCC9	-5.740
ABCD1	1.309
ABCD2	-2.631
ABCD3	-3.823
ABCD4	-3.176
ABCE1	13.663
ABCF1	4.353
ABCF2	-3.869
ABCF3	-1.621
ABCG1	-1.627
ABCG2	-3.574
ABCG4	-4.884
ABCG5	0.504
ABCG8	-9.299
ABHD1	-1.852
ABHD10	1.978
ABHD11	-2.771
ABHD12	-0.413
ABHD12B	-8.618
ABHD13	-1.469
ABHD14A	-3.167
ABHD14B	-3.691
ABHD15	2.576
ABHD16A	-4.672
ABHD16B	-3.867
ABHD17A	-0.784
ABHD17B	-3.502
ABHD17C	-5.246
ABHD2	-4.100
ABHD3	-0.925
ABHD4	-5.452
ABHD5	-0.630
ABHD6	-6.744
ABHD8	-5.950
ABI1	-3.493
ABI2	-5.004
ABI3	-3.039
ABI3BP	-4.826
ABL1	-3.234
ABL2	-6.198
ABLIM1	-3.140
ABLIM2	-3.341
ABLIM3	-2.737
ABR	-4.974
ABRA	-2.734
