CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
22	42086794	51215160	484	0	85893, 86376
23	306271	20074844	397	0	86377, 86773
23	20152073	20156679	5	-1.0042	86774, 86778
23	20193396	69282834	1079	9e-4	86779, 87857
23	69353894	69354653	5	-0.848	87858, 87862
23	69419189	70588035	109	0.0229	87863, 87971
23	70595116	70777089	9	-0.7066	87972, 87980
23	70814182	122532520	1012	0	87981, 88992
23	122774459	122830678	5	-1.304	88993, 88997
23	123019620	135862912	302	0.0037	88998, 89299
23	135957628	135961499	6	-0.8578	89300, 89305
23	136113190	154774832	578	0.005	89306, 89883
24	155403	59342522	142	0	89884, 90025
