GENE	BF
A1BG	-6.139
A1CF	-0.657
A2M	-14.399
A2ML1	-9.514
A3GALT2	-2.132
A4GALT	-4.842
A4GNT	-11.669
AAAS	-9.712
AACS	-16.414
AADAC	-15.546
AADACL2	-6.083
AADACL3	-9.189
AADACL4	-14.289
AADAT	-8.299
AAED1	-5.619
AAGAB	-11.058
AAK1	-7.524
AAMDC	-16.287
AAMP	23.550
AANAT	-11.767
AAR2	-12.117
AARD	-4.632
AARS	69.296
AARS2	4.984
AARSD1	-10.538
AASDH	-12.984
AASDHPPT	-8.852
AASS	-3.602
AATF	4.406
AATK	-9.625
ABAT	-10.195
ABCA1	-8.672
ABCA10	-17.004
ABCA12	-6.755
ABCA13	-14.499
ABCA2	-9.213
ABCA3	-22.427
ABCA4	-11.020
ABCA5	-10.105
ABCA6	-9.305
ABCA7	-12.398
ABCA8	-12.904
ABCA9	-10.856
ABCB1	-5.231
ABCB10	-5.691
ABCB11	-5.798
ABCB4	-8.456
ABCB5	-11.491
ABCB6	-8.356
ABCB7	-2.162
ABCB8	-13.656
ABCB9	-12.968
ABCC1	-12.772
ABCC10	-9.258
ABCC11	-10.362
ABCC12	-6.556
ABCC2	-16.087
ABCC3	-19.400
ABCC4	-12.665
ABCC5	-14.921
ABCC6	-22.488
ABCC8	-12.971
ABCC9	-9.107
ABCD1	-7.186
ABCD2	-13.934
ABCD3	-8.621
ABCD4	-12.646
ABCE1	60.765
ABCF1	7.937
ABCF2	-8.863
ABCF3	-21.285
ABCG1	-15.772
ABCG2	-11.784
ABCG4	-18.845
ABCG5	-16.563
ABCG8	-18.332
ABHD1	-12.597
ABHD10	-5.286
ABHD11	-13.126
ABHD12	-9.427
ABHD12B	-14.666
ABHD13	-10.905
ABHD14A	-8.294
ABHD14B	-15.336
ABHD15	-5.277
ABHD16A	-15.958
ABHD16B	-7.465
ABHD17A	-6.216
ABHD17B	-9.553
ABHD17C	-10.314
ABHD2	-14.718
ABHD3	-3.455
ABHD4	-14.338
ABHD5	-6.091
ABHD6	-13.086
ABHD8	-10.354
ABI1	-10.834
ABI2	-12.209
ABI3	-17.679
ABI3BP	-11.390
ABL1	-11.891
ABL2	-13.016
ABLIM1	-12.723
ABLIM2	-11.303
ABLIM3	-2.648
ABR	-19.200
ABRA	-16.491
ABRACL	-10.840
ABT1	5.394
ABTB1	-10.682
ABTB2	-8.503
ACAA1	-12.259
ACAA2	-4.331
ACACA	0.293
ACACB	-15.087
ACAD10	-3.042
ACAD11	-16.400
ACAD8	-0.447
ACAD9	0.388
ACADL	-13.109
ACADM	-10.913
ACADS	-14.302
ACADSB	2.165
ACADVL	-14.108
ACAN	-10.698
ACAP1	-15.290
ACAP2	-8.724
ACAP3	-1.538
ACAT1	1.304
ACAT2	-11.707
ACBD3	-13.445
ACBD4	-10.458
ACBD5	-10.925
ACBD6	-21.317
ACBD7	-12.031
ACCS	-7.319
ACCSL	-7.844
ACD	-2.933
ACE	-14.307
ACE2	-15.765
ACER1	0.376
ACER2	-6.084
ACER3	-3.377
ACHE	-2.204
ACIN1	-4.762
ACKR2	-10.611
ACKR3	-11.477
ACKR4	-15.812
ACLY	3.869
ACMSD	-16.621
ACN9	-5.796
ACO1	-8.060
ACO2	17.430
ACOT1	-13.679
ACOT11	-5.938
ACOT12	-2.814
ACOT13	-6.746
ACOT2	-6.831
ACOT4	-11.427
ACOT6	-14.420
ACOT7	-9.231
ACOT8	-12.626
ACOT9	-8.575
ACOX1	-6.984
ACOX2	-12.195
ACOX3	-18.108
ACOXL	-11.407
ACP1	-26.721
ACP2	-7.327
ACP5	-15.480
ACP6	-21.025
ACPL2	-10.223
ACPP	-15.098
ACPT	-11.092
ACR	-1.185
ACRBP	-9.424
ACRC	-14.229
ACRV1	-18.656
ACSBG1	-10.033
ACSBG2	-15.217
ACSF2	-14.066
ACSF3	-21.142
ACSL1	-11.670
ACSL3	-13.975
ACSL4	-11.046
ACSL5	-10.158
ACSL6	-14.403
ACSM1	-6.624
ACSM2A	-20.724
ACSM2B	-11.411
ACSM3	-10.241
ACSM4	-8.036
ACSM5	-4.643
ACSS1	-16.489
ACSS2	-12.513
ACSS3	-17.405
ACTA1	-14.899
ACTA2	-11.703
ACTB	-11.936
ACTBL2	-9.750
ACTC1	-8.708
ACTG1	2.923
ACTG2	-7.807
ACTL10	-15.021
ACTL6A	10.238
ACTL6B	-14.567
ACTL7A	-15.156
ACTL7B	-16.066
ACTL8	-14.237
ACTL9	-11.734
ACTN1	-10.847
ACTN2	-11.019
ACTN4	-9.933
ACTR10	22.576
ACTR1A	16.539
ACTR1B	-10.073
ACTR2	19.932
ACTR3	-7.965
ACTR3B	-0.822
ACTR3C	-9.009
ACTR5	-11.272
ACTR6	9.620
ACTR8	-2.209
ACTRT1	-11.656
ACTRT2	-14.185
ACTRT3	-4.243
ACVR1	-16.142
ACVR1B	-17.157
ACVR1C	-14.771
ACVR2A	-3.598
ACVR2B	-7.545
ACVRL1	-15.909
ACY1	-14.531
ACY3	-9.492
ACYP1	-13.527
ACYP2	-15.560
ADA	-5.541
ADAD1	-9.597
ADAD2	-10.594
ADAL	-7.543
ADAM10	-14.718
ADAM11	-4.713
ADAM12	-4.951
ADAM15	-11.450
ADAM17	-13.823
ADAM18	-13.272
ADAM19	-7.639
ADAM2	-5.553
ADAM20	-8.726
ADAM21	-15.625
ADAM22	-12.912
ADAM23	-17.846
ADAM28	-13.909
ADAM29	-13.219
ADAM30	-9.188
ADAM32	-6.770
ADAM33	-11.844
ADAM7	-10.703
ADAM8	-10.810
ADAM9	-12.669
