AUC	Recall	sigthreshold	cell_line	metric
0.848183646645313	0.3356944872189714	-2.1662106751982675	921	ROC
0.909304457879778	0.6969510317215891	-0.9528033163651298	Mel202	ROC
0.896783743835297	0.7058823529411765	-0.7807734060159536	Mel270	ROC
0.837751346616434	0.372959655066215	-0.9985546655185971	Mel285	ROC
0.854369055948318	0.5395749923005851	-0.6213509558328567	MP38	ROC
0.879258740211137	0.651370495842316	-0.5816655734408069	MP41	ROC
0.761869047366519	3.079765937788728e-4	-2.3861280512088934	MP46	ROC
0.922247396479948	0.8013550970126271	-0.6229101098010416	OMM1	ROC
0.929270389454403	0.8056667693255313	-0.5289070796727582	OMM23	ROC
0.920350422616238	0.7647058823529411	-0.7222605586590827	OMM25	ROC
0.859582582581935	0.3356944872189714	-2.1662106751982675	921	PrRc
0.922717018098597	0.6969510317215891	-0.9528033163651298	Mel202	PrRc
0.919889189801722	0.7058823529411765	-0.7807734060159536	Mel270	PrRc
0.854095790656542	0.372959655066215	-0.9985546655185971	Mel285	PrRc
0.880617226066334	0.5395749923005851	-0.6213509558328567	MP38	PrRc
0.904458257456247	0.651370495842316	-0.5816655734408069	MP41	PrRc
0.76525117330638	3.079765937788728e-4	-2.3861280512088934	MP46	PrRc
0.942577147927807	0.8013550970126271	-0.6229101098010416	OMM1	PrRc
0.946309380363696	0.8056667693255313	-0.5289070796727582	OMM23	PrRc
0.937871574105266	0.7647058823529411	-0.7222605586590827	OMM25	PrRc
