genes	921	Mel202	Mel270	Mel285	MP38	MP41	MP46	OMM1	OMM23	OMM25
SAMD11	0.35930688382007236	0.11050246138465765	0.27325185038779076	0.11131582923899129	0.09822309611107852	0.08711174311131316	0.08351449862427268	0.22446448918744827	0.1094533831170771	0.1217882760790388
NOC2L	-0.828924089415444	-1.6828078919320166	-0.7099814800601849	-0.26272463898725135	-0.17736775854322942	-0.5371636531045898	0.05609169068549655	-1.4001406615484568	-1.0963229584518048	-1.541545506880499
KLHL17	0.29339943875828944	0.1293370974665174	0.26449596287311733	0.33889041581845797	0.06403140032906388	-0.008183567601630725	0.13956225487950571	0.1747361537401311	0.05234377099106872	0.1102535368679024
PLEKHN1	0.18804592442339435	-0.1784788907420558	-0.009049333201883423	0.27966761674030355	0.10233881517348832	0.09924184844639297	0.19597575586489305	-0.048169355370024335	-0.1958438359573574	-0.2097084584267454
HES4	0.2986856081420537	-0.11853262103110884	0.06841465190314668	0.2317908056974936	-0.06343017233886805	-0.12204041651360387	0.01097322838369888	-0.09482203297884473	-0.0013664325510388542	-0.024522754688201538
ISG15	0.21914973099997356	0.006785348873499256	-0.035275792044455793	0.3194886603710822	-0.3444220398171445	0.06286288951322554	0.08899027414339837	0.04522317287699598	0.015070272278708621	0.07223512639156249
AGRN	0.7409733808076924	0.20514830339146442	0.25028116296328473	0.3007814080075003	0.09683563612476323	0.21131514781237093	0.20697231297074054	0.1092010031337142	-0.05185284773512145	0.18719658475913145
RNF223	0.3716071790828715	-0.02227154408407653	-0.13125842027492243	0.013665507356968138	0.02790710031465022	-0.1790852876250804	-0.08555886404758538	-0.06071167992381644	-0.09792233710179493	0.005721991635470028
C1orf159	0.3548599946516547	0.1337918447901413	-0.0944390614218313	0.12899324092634387	-0.0598974990340792	0.05832436065659141	0.22815709786856475	0.15726886163029785	0.06437566748239372	-0.11574741284083508
TTLL10	0.3381699647397017	0.29174899422120604	0.18982096629120546	0.14245403883718968	0.20739195662062754	0.10392891328975731	0.18598203172102765	0.26564793927016905	0.0652052020938089	0.19415632450965742
TNFRSF18	0.7402183349493383	4.4005719129625585e-4	0.12240743352890347	0.3781268329178005	0.13920599558117494	0.14266245576759248	0.10848834457698875	0.1341940268947822	0.15769613555351156	0.1744859611740045
TNFRSF4	0.5590498594760155	0.11633202858424957	-0.04746517437716047	0.11390051077879143	-0.06651437101340703	0.07045067369927895	0.09562689697188578	-0.00396900152573818	0.08083200039545373	-0.009550390395793204
SDF4	0.22902561811698902	-0.07287059705266963	-0.08428200695189979	-0.09114114681505622	0.05052316587433672	-0.08857271625479653	6.564518404479167e-4	-0.008360262832604786	0.17477855223217165	-0.03804143288678676
B3GALT6	0.4290477365469967	0.12349534664662454	0.09590375450468899	-7.432606059892266e-5	0.1970744029404563	0.0741172769639965	0.02572477288874379	0.21078740373978322	0.043959945006213114	0.03766489374117302
FAM132A	-0.1800532406693271	-0.04368983272762227	-0.1517488625085591	-0.04586864802367123	-0.047340649248998126	-0.14453051188174154	-0.07545377350903906	-0.07359371000742834	-0.07797718100179417	-0.20290273077988347
UBE2J2	-0.6847095634359269	-0.07954941603265615	-0.2971777363220829	-0.10386230157372736	-0.17179810985001562	-0.15824821571510123	-0.05790316100373512	-0.10877589684419545	-0.3023791243217748	-0.07655374884657751
SCNN1D	0.3233992632141034	0.16476288256938915	0.05279545108779883	0.5485213264033563	0.09671995951342642	0.18187835964357646	0.21917084472564957	0.13950742223502305	0.14121854617314064	0.11197820500055593
ACAP3	-0.02228276004509561	-0.378219463140727	-0.22483502204661146	0.07220239176986462	-0.10932395779881755	-0.2823551349473535	0.011021443913537644	-0.284223821454807	-0.10975752536998026	-0.20456907781694972
PUSL1	0.24189968929930541	-0.13542476178011587	-0.059519918270934995	0.07982948256685092	-0.030052337763639074	-0.11694395052633402	-0.1307276947583605	-0.0642790717772698	-0.02372279678492102	-0.07674664326266221
CPSF3L	-2.384340585242886	-2.5374614010297125	-2.1794911023761445	-1.1086801496177008	-1.114506630286614	-1.1710294112610267	-0.5907738104867346	-2.6565368391772197	-2.936438582569337	-2.5678933045884547
GLTPD1	-0.04924947598243279	-0.0956853096895203	0.24834092917761216	0.28689743214574337	0.15295579045974417	0.22050097726452694	0.16875087973834121	0.15799784901525135	0.13732915107069696	0.09434223534180979
TAS1R3	0.21127067422340232	0.28636778245422156	0.049604352909547	0.3430098508784078	0.09977913245355305	0.13545046070590283	-0.020311435354753236	0.18441112468953777	0.15005200647525105	0.09177526737646033
DVL1	-0.43970025256342415	-0.2385866648006446	-0.17179985874507206	-0.13842687908740167	-0.132562361535724	-0.21382968511917624	0.03840599179091107	-0.07398754678289197	-0.042878693547489105	-0.08511466603879818
MXRA8	0.2575342808010096	0.043793777037479956	-0.05670546286824755	-0.04018196208679769	-0.07960477490340603	-0.10373685981905661	-0.03980140395202249	-0.11011822170475132	0.36589007950950936	-0.059543941751897526
AURKAIP1	-0.5197262052060768	-1.0573481290804196	0.0606417041914891	-0.01922152002360793	-0.20762714276510263	-0.32571109363476014	0.0041236737230038525	-0.5947321271328733	-0.6816440049830416	-0.43917164943777487
CCNL2	-0.4213163699837716	0.07601821867219682	0.014192427561683514	0.04668805337501458	0.04505875712437653	0.1332555208508388	-0.04489620618420167	0.1548273695890039	0.08569764218178198	0.06602874912476527
MRPL20	-0.4942277224850601	-1.009550876460555	0.12449954254806565	0.3160121857308039	-0.08884024872340615	-0.43395042715955995	0.02303065720925196	-0.6755858770028147	-0.7069993246550234	-0.3694884691080853
