AUC	Recall	sigthreshold	cell_line
0.848183646645313	0.3356944872189714	-2.1662106751982675	921
0.909304457879778	0.6969510317215891	-0.9528033163651298	Mel202
0.896783743835297	0.7058823529411765	-0.7807734060159536	Mel270
0.837751346616434	0.372959655066215	-0.9985546655185971	Mel285
0.854369055948318	0.5395749923005851	-0.6213509558328567	MP38
0.879258740211137	0.651370495842316	-0.5816655734408069	MP41
0.761869047366519	3.079765937788728e-4	-2.3861280512088934	MP46
0.922247396479948	0.8013550970126271	-0.6229101098010416	OMM1
0.929270389454403	0.8056667693255313	-0.5289070796727582	OMM23
0.920350422616238	0.7647058823529411	-0.7222605586590827	OMM25
