AUC	Recall	sigthreshold	cell_line	metric
0.954357864771012	0.7541729893778453	-0.839446908563295	921	ROC
0.969802322394873	0.8694992412746586	-0.6102439520437468	Mel202	ROC
0.946036426996716	0.8573596358118362	-0.3953614192570588	Mel270	ROC
0.930880325904233	0.6631259484066768	-0.47836389535562585	Mel285	ROC
0.92839146137454	0.7708649468892261	-0.27468258121186656	MP38	ROC
0.970871900167288	0.8983308042488619	-0.286402583666008	MP41	ROC
0.878538502754725	0.496206373292868	-0.25707256369959924	MP46	ROC
0.966712203821031	0.9226100151745068	-0.31485771034222376	OMM1	ROC
0.973460973704338	0.936267071320182	-0.25618996140605776	OMM23	ROC
0.969491469963884	0.9059180576631259	-0.368694898789429	OMM25	ROC
0.953446326052073	0.7541729893778453	-0.839446908563295	921	PrRc
0.970948229212727	0.8694992412746586	-0.6102439520437468	Mel202	PrRc
0.959129054963719	0.8573596358118362	-0.3953614192570588	Mel270	PrRc
0.935975530318369	0.6631259484066768	-0.47836389535562585	Mel285	PrRc
0.940752317976888	0.7708649468892261	-0.27468258121186656	MP38	PrRc
0.974379795306712	0.8983308042488619	-0.286402583666008	MP41	PrRc
0.882840415675869	0.496206373292868	-0.25707256369959924	MP46	PrRc
0.976472176759491	0.9226100151745068	-0.31485771034222376	OMM1	PrRc
0.980426941284229	0.936267071320182	-0.25618996140605776	OMM23	PrRc
0.976025529587299	0.9059180576631259	-0.368694898789429	OMM25	PrRc
