GENE	BF
A1BG	-14.401
A1CF	-6.471
A2M	-17.077
A2ML1	-17.859
A3GALT2	-6.257
A4GALT	-11.369
A4GNT	-9.265
AAAS	-11.665
AACS	-13.032
AADAC	-18.233
AADACL2	-17.760
AADACL3	-6.417
AADACL4	-19.735
AADAT	-13.682
AAED1	-17.759
AAGAB	-11.102
AAK1	-13.858
AAMDC	-7.903
AAMP	34.404
AANAT	-21.329
AAR2	-20.048
AARD	-21.398
AARS	71.488
AARS2	-3.138
AARSD1	-12.483
AASDH	-11.755
AASDHPPT	-5.791
AASS	-8.971
AATF	17.210
AATK	-18.889
ABAT	-17.251
ABCA1	-16.520
ABCA10	-9.540
ABCA12	-8.344
ABCA13	-21.690
ABCA2	-20.021
ABCA3	-29.573
ABCA4	-11.679
ABCA5	-4.890
ABCA6	3.976
ABCA7	-20.442
ABCA8	-13.978
ABCA9	-12.428
ABCB1	-9.606
ABCB10	-12.021
ABCB11	-6.797
ABCB4	-13.568
ABCB5	2.264
ABCB6	-17.540
ABCB7	2.795
ABCB8	-11.685
ABCB9	-14.309
ABCC1	-18.874
ABCC10	-13.525
ABCC11	-11.702
ABCC12	-14.886
ABCC2	-13.224
ABCC3	-16.635
ABCC4	-21.988
ABCC5	-25.131
ABCC6	-19.680
ABCC8	-20.431
ABCC9	-18.900
ABCD1	-15.116
ABCD2	-11.361
ABCD3	-18.087
ABCD4	-16.291
ABCE1	126.936
ABCF1	0.368
ABCF2	-3.535
ABCF3	-24.977
ABCG1	-18.510
ABCG2	-13.928
ABCG4	-16.864
ABCG5	-21.400
ABCG8	-21.649
ABHD1	-17.556
ABHD10	-4.149
ABHD11	-12.024
ABHD12	-5.486
ABHD12B	-20.234
ABHD13	-16.608
ABHD14A	-15.238
ABHD14B	-9.388
ABHD15	-16.937
ABHD16A	-15.539
ABHD16B	-16.029
ABHD17A	-12.845
ABHD17B	-14.181
ABHD17C	-19.970
ABHD2	-16.302
ABHD3	-13.923
ABHD4	-27.522
ABHD5	-12.420
ABHD6	-20.165
ABHD8	-16.114
ABI1	-11.198
ABI2	-13.825
ABI3	-10.147
ABI3BP	-11.280
ABL1	-20.755
ABL2	-20.711
ABLIM1	-6.894
ABLIM2	-16.023
ABLIM3	-17.868
ABR	-37.903
ABRA	-20.380
ABRACL	-8.236
ABT1	9.982
ABTB1	-18.052
ABTB2	-20.013
ACAA1	-15.120
ACAA2	-10.412
ACACA	-12.199
ACACB	-16.340
ACAD10	-8.578
ACAD11	-20.543
ACAD8	-2.493
ACAD9	-9.110
ACADL	-18.099
ACADM	-15.497
ACADS	-16.477
ACADSB	-6.848
ACADVL	-13.437
ACAN	-14.882
ACAP1	-20.812
ACAP2	-6.967
ACAP3	-9.694
ACAT1	-9.679
ACAT2	-11.619
ACBD3	-17.994
ACBD4	-19.891
ACBD5	-13.716
ACBD6	-23.865
ACBD7	-8.463
ACCS	-12.878
ACCSL	-16.561
ACD	-11.732
ACE	-9.758
ACE2	-15.115
ACER1	5.202
ACER2	-7.553
ACER3	-6.801
ACHE	-1.894
ACIN1	-0.124
ACKR2	-15.163
ACKR3	-15.100
ACKR4	3.471
ACLY	6.849
ACMSD	-14.535
ACN9	-12.661
ACO1	-14.649
ACO2	1.113
ACOT1	-13.741
ACOT11	-19.467
ACOT12	-7.343
ACOT13	-16.194
ACOT2	-8.764
ACOT4	-15.364
ACOT6	-13.538
ACOT7	-17.928
ACOT8	-19.362
ACOT9	-11.199
ACOX1	-11.936
ACOX2	-12.974
ACOX3	-15.724
ACOXL	-12.728
ACP1	-38.157
ACP2	-8.495
ACP5	-12.497
ACP6	-23.622
ACPL2	-6.502
ACPP	-15.673
ACPT	-12.641
ACR	-7.087
ACRBP	-19.263
ACRC	-7.383
ACRV1	-14.815
ACSBG1	-17.534
ACSBG2	-11.747
ACSF2	-10.450
ACSF3	-19.552
ACSL1	-16.037
ACSL3	-9.289
ACSL4	-14.598
ACSL5	-9.886
ACSL6	-12.148
ACSM1	-6.004
ACSM2A	-14.031
ACSM2B	-10.402
ACSM3	-17.337
ACSM4	-14.231
ACSM5	-13.018
ACSS1	-19.653
ACSS2	-18.490
ACSS3	-22.523
ACTA1	-18.792
ACTA2	-17.818
ACTB	-3.282
ACTBL2	-17.484
ACTC1	-20.146
ACTG1	-3.373
ACTG2	-19.657
ACTL10	-17.105
ACTL6A	87.153
ACTL6B	-23.550
ACTL7A	-18.886
ACTL7B	-21.215
ACTL8	-16.971
ACTL9	-20.747
ACTN1	-10.938
ACTN2	-18.403
ACTN4	-14.276
ACTR10	16.642
ACTR1A	2.733
ACTR1B	-14.874
ACTR2	27.813
ACTR3	6.967
ACTR3B	-12.006
ACTR3C	-2.756
ACTR5	-8.300
ACTR6	10.077
ACTR8	1.846
ACTRT1	-13.227
ACTRT2	-16.527
ACTRT3	-10.846
ACVR1	-14.063
ACVR1B	-18.398
ACVR1C	-13.743
ACVR2A	-2.290
ACVR2B	-18.113
ACVRL1	-19.861
ACY1	-15.979
ACY3	-15.551
ACYP1	-15.277
ACYP2	-16.791
ADA	-11.991
ADAD1	-10.230
ADAD2	-13.510
ADAL	-10.990
ADAM10	-18.783
ADAM11	-9.280
ADAM12	-11.596
ADAM15	-17.210
ADAM17	-15.336
ADAM18	-7.816
ADAM19	-22.216
ADAM2	5.809
ADAM20	-10.781
ADAM21	-7.423
ADAM22	-13.613
ADAM23	-10.479
ADAM28	-13.092
ADAM29	-12.187
ADAM30	-20.592
ADAM32	-13.023
ADAM33	-10.142
ADAM7	-14.505
ADAM8	-13.118
ADAM9	-13.746
ADAMDEC1	-9.503
ADAMTS1	-15.094
ADAMTS10	-10.084
ADAMTS12	-18.277
ADAMTS13	-17.116
ADAMTS14	-15.812
ADAMTS15	-13.515
ADAMTS16	-20.360
ADAMTS17	-11.196
ADAMTS18	-12.814
ADAMTS19	-17.613
ADAMTS2	-23.892
ADAMTS20	-12.788
ADAMTS3	-4.856
ADAMTS4	-12.702
ADAMTS5	-16.130
ADAMTS6	-18.172
ADAMTS7	-14.142
ADAMTS8	-13.099
ADAMTS9	-7.177
ADAMTSL1	-15.075
ADAMTSL2	-23.347
ADAMTSL3	-11.581
ADAMTSL4	-14.025
ADAMTSL5	-13.176
ADAP1	-16.565
ADAP2	-14.414
ADAR	6.768
ADARB1	-15.502
ADARB2	-17.053
ADAT1	-8.435
ADAT2	-10.464
ADAT3	-7.590
ADC	-9.886
ADCK1	-14.618
ADCK2	-6.057
ADCK3	-11.742
ADCK4	-7.966
ADCK5	-23.339
ADCY1	-16.414
ADCY10	-17.654
ADCY2	-17.230
ADCY3	-9.877
ADCY4	-11.934
ADCY5	-16.505
ADCY6	-14.873
ADCY7	-15.365
ADCY8	-8.585
ADCY9	-14.560
ADCYAP1	-21.821
ADCYAP1R1	-14.333
ADD1	-12.428
ADD2	-13.237
ADD3	-8.848
ADH1A	-11.631
ADH1B	-16.754
ADH4	-17.759
ADH5	-3.815
ADH6	-13.593
